2/16 20:19:12.982  ZONE_INFO: 16.02.26 20:19:12&zul'gurub&0
2/16 21:05:25.668  0x0000000000426076's Frostbolt hits 0xF130002C5D00BF8A for 35 Frost damage.
2/16 21:05:25.668  CAST: 0x000000000060D9EC(Nefras) casts Crusader Strike(10337)(Rank 5) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:25.668  Your Crusader Strike was dodged by 0xF130002C5D00BF8A.
2/16 21:05:25.668  0xF130002C5D00BF8A is afflicted by Frostbolt (1).
2/16 21:05:25.842  CAST: 0x0000000000672CE0(Satrell) casts Swipe(9908)(Rank 5) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:25.842  0x0000000000672CE0's Swipe hits 0xF130002C5D00BF8A for 104.
2/16 21:05:26.096  CAST: 0x0000000000426076(Gustas) casts Deep Wounds(12868)(Rank 3) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:26.096  CAST: 0x0000000000426076(Gustas) casts Deep Wound(12721) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:26.096  0x0000000000426076 crits 0xF130002C5D00BF8A for 162.
2/16 21:05:26.133  0xF130002C5D00BF8A is afflicted by Deep Wound (1).
2/16 21:05:26.284  0x0000000000672CE0 reflects 38 Nature damage to 0xF130002C5D00BF8A.
2/16 21:05:26.284  0xF130002C5D00BF8A hits 0x0000000000672CE0 for 322.
2/16 21:05:26.663  Your Fire Strike hits 0xF130002C5D00BF8A for 5 Fire damage.
2/16 21:05:26.664  Your Seal of Righteousness hits 0xF130002C5D00BF8A for 125 Holy damage.
2/16 21:05:26.664  Your Fire Strike hits 0xF130002C5D00BF8A for 5 Fire damage.
2/16 21:05:26.664  Your Divine Strike hits 0xF130002C5D00BF8A for 4 Holy damage.
2/16 21:05:26.664  Your Divine Strike hits 0xF130002C5D00BF8A for 4 Holy damage.
2/16 21:05:26.664  CAST: 0x000000000060D9EC(Nefras) casts Thunderfury(21992) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:26.664  CAST: 0x000000000060D9EC(Nefras) casts Thunderfury(27648) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:26.664  Your Thunderfury hits 0xF130002C5D00BF8A for 345 Nature damage.
2/16 21:05:26.664  You hit 0xF130002C5D00BF8A for 146.
2/16 21:05:26.664  0xF130002C5D00BF8A is afflicted by Thunderfury (1).
2/16 21:05:26.664  0xF130002C5D00BF8A is afflicted by Thunderfury (1).
2/16 21:05:27.202  CAST: 0x0000000000672CE0(Satrell) casts Maul(9881)(Rank 7) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:27.202  0x0000000000672CE0's Maul hits 0xF130002C5D00BF8A for 383.
2/16 21:05:27.202  CAST: 0x0000000000426076(Gustas) casts Deep Wounds(12868)(Rank 3) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:27.202  0x0000000000426076 crits 0xF130002C5D00BF8A for 350.
2/16 21:05:27.440  CAST: 0x0000000000426076(Gustas) casts Deep Wounds(12868)(Rank 3) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:27.440  0x0000000000426076 crits 0xF130002C5D00BF8A for 164.
2/16 21:05:27.544  0xF130002C5D00BF8A suffers 28 Physical damage from 0x0000000000426076's Deep Wound.
2/16 21:05:27.825  CAST: 0x00000000006B4328(Kindspirit) casts Shoot(5019) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:27.825  CAST: 0x000000000060D9EC(Nefras) casts Judgement(20271) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:27.825  0xF130002C5D00BF8A is afflicted by Judgement of Wisdom (1).
2/16 21:05:28.285  CAST: 0x0000000000426076(Gustas) casts Bloodthirst(23894)(Rank 4) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:28.285  0x0000000000426076's Bloodthirst hits 0xF130002C5D00BF8A for 347.
2/16 21:05:28.285  Your Fire Strike hits 0xF130002C5D00BF8A for 5 Fire damage.
2/16 21:05:28.285  Your Divine Strike hits 0xF130002C5D00BF8A for 4 Holy damage.
2/16 21:05:28.290  You hit 0xF130002C5D00BF8A for 127.
2/16 21:05:28.431  0x0000000000672CE0 reflects 38 Nature damage to 0xF130002C5D00BF8A.
2/16 21:05:28.431  0xF130002C5D00BF8A hits 0x0000000000672CE0 for 327.
2/16 21:05:28.610  CAST: 0x00000000006E5FF9(Mooshmallows) casts Flame Shock(10448)(Rank 5) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:28.610  0x00000000006E5FF9's Flame Shock hits 0xF130002C5D00BF8A for 435 Fire damage.
2/16 21:05:28.610  0xF130002C5D00BF8A is afflicted by Flame Shock (1).
2/16 21:05:28.787  0x0000000000426076 hits 0xF130002C5D00BF8A for 72. (glancing)
2/16 21:05:28.969  CAST: 0x0000000000426076(Gustas) casts Heroic Strike(11567)(Rank 8) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:28.969  0x0000000000426076's Heroic Strike hits 0xF130002C5D00BF8A for 243.
2/16 21:05:29.075  CAST: 0xF130002C5D00BF8A(Son of Hakkar) casts Knockdown(16790) on 0x0000000000672CE0(Satrell).
2/16 21:05:29.075  0xF130002C5D00BF8A suffers 28 Physical damage from 0x0000000000426076's Deep Wound.
2/16 21:05:29.335  0x00000000006B4328's Shoot hits 0xF130002C5D00BF8A for 113 Shadow damage.
2/16 21:05:29.336  CAST: 0x00000000006B4328(Kindspirit) casts Shoot(5019) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:29.336  0xF130002C5D00BF8A's Knockdown hits 0x0000000000672CE0 for 46.
2/16 21:05:29.336  0xF130002C5D00BF8A's Knockdown hits you for 72.
2/16 21:05:29.336  0xF130002C5D00BF8A's Knockdown hits 0x0000000000426076 for 106.
2/16 21:05:30.175  CAST: 0x00000000006E5FF9(Mooshmallows) begins to cast Chain Lightning(10605)(Rank 4) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:30.546  0xF130002C5D00BF8A suffers 28 Physical damage from 0x0000000000426076's Deep Wound.
2/16 21:05:30.902  0x00000000006B4328's Shoot hits 0xF130002C5D00BF8A for 112 Shadow damage.
2/16 21:05:30.902  CAST: 0x00000000006B4328(Kindspirit) casts Shoot(5019) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:31.027  CAST: 0x00000000001CFD42(Netheras) casts Sinister Strike(11294)(Rank 8) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:31.027  0x00000000001CFD42's Sinister Strike hits 0xF130002C5D00BF8A for 246.
2/16 21:05:31.027  CAST: 0x00000000001CFD42(Netheras) casts Dissolvent Poison II(45880)(Rank 2) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:31.027  0x00000000001CFD42's Dissolvent Poison II hits 0xF130002C5D00BF8A for 175.
2/16 21:05:31.097  0x00000000001CFD42 crits 0xF130002C5D00BF8A for 400.
2/16 21:05:31.097  0x0000000000672CE0 reflects 38 Nature damage to 0xF130002C5D00BF8A.
2/16 21:05:31.097  0xF130002C5D00BF8A hits 0x0000000000672CE0 for 340.
2/16 21:05:31.212  0x00000000001CFD42 hits 0xF130002C5D00BF8A for 199.
2/16 21:05:31.212  0x00000000001CFD42 hits 0xF130002C5D00BF8A for 111. (glancing)
2/16 21:05:31.390  0x0000000000672CE0 hits 0xF130002C5D00BF8A for 235. (glancing)
2/16 21:05:31.390  0x0000000000426076 hits 0xF130002C5D00BF8A for 153.
2/16 21:05:31.390  Your Fire Strike hits 0xF130002C5D00BF8A for 5 Fire damage.
2/16 21:05:31.390  Your Seal of Righteousness hits 0xF130002C5D00BF8A for 127 Holy damage.
2/16 21:05:31.398  Your Fire Strike hits 0xF130002C5D00BF8A for 4 Fire damage.
2/16 21:05:31.398  CAST: 0x000000000060D9EC(Nefras) casts Vindication(26017)(Rank 2) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:31.398  Your Divine Strike hits 0xF130002C5D00BF8A for 4 Holy damage.
2/16 21:05:31.398  Your Divine Strike crits 0xF130002C5D00BF8A for 6 Holy damage.
2/16 21:05:31.414  CAST: 0x000000000060D9EC(Nefras) casts Thunderfury(21992) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:31.414  CAST: 0x000000000060D9EC(Nefras) casts Thunderfury(27648) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:31.414  Your Thunderfury crits 0xF130002C5D00BF8A for 518 Nature damage.
2/16 21:05:31.414  You hit 0xF130002C5D00BF8A for 144.
2/16 21:05:31.484  0x0000000000426076 hits 0xF130002C5D00BF8A for 81.
2/16 21:05:31.484  Your Fire Strike hits 0xF130002C5D00BF8A for 5 Fire damage.
2/16 21:05:31.484  Your Seal of Righteousness hits 0xF130002C5D00BF8A for 125 Holy damage.
2/16 21:05:31.484  Your Fire Strike hits 0xF130002C5D00BF8A for 4 Fire damage.
2/16 21:05:31.484  Your Divine Strike hits 0xF130002C5D00BF8A for 3 Holy damage.
2/16 21:05:31.492  CAST: 0x000000000060D9EC(Nefras) casts Thunderfury(21992) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:31.492  CAST: 0x000000000060D9EC(Nefras) casts Thunderfury(27648) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:31.492  Your Thunderfury crits 0xF130002C5D00BF8A for 517 Nature damage.
2/16 21:05:31.492  Your Divine Strike hits 0xF130002C5D00BF8A for 4 Holy damage.
2/16 21:05:31.492  CAST: 0x000000000060D9EC(Nefras) casts Thunderfury(21992) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:31.492  CAST: 0x000000000060D9EC(Nefras) casts Thunderfury(27648) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:31.492  Your Thunderfury crits 0xF130002C5D00BF8A for 518 Nature damage.
2/16 21:05:31.508  You hit 0xF130002C5D00BF8A for 120. (36 blocked)
2/16 21:05:31.555  CAST: 0x00000000006E5FF9(Mooshmallows) casts Chain Lightning(10605)(Rank 4) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:31.555  0x00000000006E5FF9's Chain Lightning hits 0xF130002C5D00BF8A for 832 Nature damage.
2/16 21:05:31.572  0xF130002C5D00BF8A suffers 120 Fire damage from 0x00000000006E5FF9's Flame Shock.
2/16 21:05:31.572  Frostbolt fades from 0xF130002C5D00BF8A.
2/16 21:05:31.703  CAST: 0x0000000000672CE0(Satrell) casts Savage Bite(45736) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:31.703  0x0000000000672CE0's Savage Bite hits 0xF130002C5D00BF8A for 261.
2/16 21:05:31.760  CAST: 0x000000000060D9EC(Nefras) casts Crusader Strike(10337)(Rank 5) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:31.760  Your Crusader Strike hits 0xF130002C5D00BF8A for 247.
2/16 21:05:31.760  Your Fire Strike hits 0xF130002C5D00BF8A for 5 Fire damage.
2/16 21:05:31.760  Your Divine Strike hits 0xF130002C5D00BF8A for 4 Holy damage.
2/16 21:05:32.004  CAST: 0x00000000001CFD42(Netheras) casts Rupture(11275)(Rank 6) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:32.004  0xF130002C5D00BF8A is afflicted by Rupture (1).
2/16 21:05:32.106  0xF130002C5D00BF8A suffers 28 Physical damage from 0x0000000000426076's Deep Wound.
2/16 21:05:32.106  Deep Wound fades from 0xF130002C5D00BF8A.
2/16 21:05:32.478  0x00000000006B4328's Shoot hits 0xF130002C5D00BF8A for 128 Shadow damage.
2/16 21:05:32.478  CAST: 0x00000000006B4328(Kindspirit) casts Shoot(5019) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:32.850  CAST: 0x00000000006CEDB4(Qoppa) casts Fire Blast(10199)(Rank 7) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:32.850  0x00000000006CEDB4's Fire Blast hits 0xF130002C5D00BF8A for 626 Fire damage.
2/16 21:05:32.850  CAST: 0x00000000006CEDB4(Qoppa) casts Ancient Accord(44095) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:05:32.850  0x00000000006CEDB4's Ancient Accord hits 0xF130002C5D00BF8A for 474 Arcane damage.
2/16 21:05:32.852  0xF130002C5D00BF8A dies.
2/16 21:05:32.868  CAST: 0xF130002C5D00BF8A(Son of Hakkar) casts Poisonous Blood(24320) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:38.354  0xF130002C5D00BF8A misses 0x0000000000672CE0.
2/16 21:07:38.642  0x0000000000672CE0 crits 0xF130002C5D00BF8A for 524.
2/16 21:07:39.475  0xF130002C5D00BF8A is afflicted by Demoralizing Roar (1).
2/16 21:07:40.379  0x0000000000672CE0 reflects 38 Nature damage to 0xF130002C5D00BF8A.
2/16 21:07:40.379  0xF130002C5D00BF8A hits 0x0000000000672CE0 for 309.
2/16 21:07:42.430  0x0000000000672CE0 reflects 38 Nature damage to 0xF130002C5D00BF8A.
2/16 21:07:42.430  0xF130002C5D00BF8A hits 0x0000000000672CE0 for 323.
2/16 21:07:43.985  0x0000000000672CE0 attacks. 0xF130002C5D00BF8A parries.
2/16 21:07:44.796  0xF130002C5D00BF8A attacks. 0x0000000000672CE0 dodges.
2/16 21:07:45.549  CAST: 0xF130002C5D00BF8A(Son of Hakkar) casts Thrash(3391) on 0x0000000000672CE0(Satrell).
2/16 21:07:45.549  0xF130002C5D00BF8A gains 2 extra attacks through Thrash.
2/16 21:07:45.963  0x0000000000672CE0 reflects 38 Nature damage to 0xF130002C5D00BF8A.
2/16 21:07:45.963  0xF130002C5D00BF8A hits 0x0000000000672CE0 for 341.
2/16 21:07:45.963  0x0000000000672CE0 reflects 38 Nature damage to 0xF130002C5D00BF8A.
2/16 21:07:45.963  0xF130002C5D00BF8A hits 0x0000000000672CE0 for 336.
2/16 21:07:48.297  CAST: 0xF130002C5D00BF8A(Son of Hakkar) casts Dazed(1604) on 0x0000000000672CE0(Satrell).
2/16 21:07:48.297  0xF130002C5D00BF8A performs Dazed on 0x0000000000672CE0.
2/16 21:07:48.297  0x0000000000672CE0 reflects 38 Nature damage to 0xF130002C5D00BF8A.
2/16 21:07:48.297  0xF130002C5D00BF8A crits 0x0000000000672CE0 for 654.
2/16 21:07:48.692  CAST: 0xF130002C5D00BF8A(Son of Hakkar) casts Knockdown(16790) on 0x0000000000672CE0(Satrell).
2/16 21:07:48.914  0xF130002C5D00BF8A's Knockdown hits 0x0000000000672CE0 for 50.
2/16 21:07:50.364  0x0000000000672CE0 reflects 38 Nature damage to 0xF130002C5D00BF8A.
2/16 21:07:50.364  0xF130002C5D00BF8A hits 0x0000000000672CE0 for 306.
2/16 21:07:51.386  CAST: 0x0000000000672CE0(Satrell) casts Bash(8983)(Rank 3) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:51.386  CAST: 0x00000000001CFD42(Netheras) casts Garrote(11290)(Rank 6) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:51.386  0xF130002C5D00BF8A is afflicted by Bash (1).
2/16 21:07:51.386  0xF130002C5D00BF8A is afflicted by Garrote (1).
2/16 21:07:51.612  0x00000000001CFD42 hits 0xF130002C5D00BF8A for 193.
2/16 21:07:52.333  CAST: 0x0000000000426076(Gustas) casts Frostbolt(52663) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:52.333  0x0000000000426076 hits 0xF130002C5D00BF8A for 135. (glancing)
2/16 21:07:52.522  0x0000000000426076's Frostbolt was resisted by 0xF130002C5D00BF8A.
2/16 21:07:53.101  0x0000000000426076 hits 0xF130002C5D00BF8A for 69.
2/16 21:07:53.283  CAST: 0x000000000060D9EC(Nefras) casts Crusader Strike(10337)(Rank 5) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:53.283  Your Crusader Strike hits 0xF130002C5D00BF8A for 236.
2/16 21:07:53.283  Your Fire Strike hits 0xF130002C5D00BF8A for 4 Fire damage.
2/16 21:07:53.283  Your Divine Strike hits 0xF130002C5D00BF8A for 3 Holy damage.
2/16 21:07:53.432  CAST: 0x0000000000672CE0(Satrell) begins to cast Hibernate(18657)(Rank 2) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:53.546  Your Fire Strike hits 0xF130002C5D00BF8A for 4 Fire damage.
2/16 21:07:53.546  Your Divine Strike hits 0xF130002C5D00BF8A for 4 Holy damage.
2/16 21:07:53.546  You hit 0xF130002C5D00BF8A for 139.
2/16 21:07:54.362  0xF130002C5D00BF8A suffers 129 Physical damage from 0x00000000001CFD42's Garrote.
2/16 21:07:54.639  CAST: 0x0000000000426076(Gustas) casts Frostbolt(52663) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:54.639  0x0000000000426076 hits 0xF130002C5D00BF8A for 166.
2/16 21:07:54.738  CAST: 0x0000000000672CE0(Satrell) casts Hibernate(18657)(Rank 2) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:54.738  Bash fades from 0xF130002C5D00BF8A.
2/16 21:07:54.738  0xF130002C5D00BF8A is afflicted by Hibernate (1).
2/16 21:07:54.815  CAST: 0x0000000000426076(Gustas) casts Deep Wounds(12868)(Rank 3) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:54.815  CAST: 0x0000000000426076(Gustas) casts Deep Wound(12721) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:54.815  0x0000000000426076 crits 0xF130002C5D00BF8A for 136.
2/16 21:07:54.815  Hibernate fades from 0xF130002C5D00BF8A.
2/16 21:07:54.815  0xF130002C5D00BF8A is afflicted by Deep Wound (1).
2/16 21:07:54.917  0x0000000000426076's Frostbolt hits 0xF130002C5D00BF8A for 36 Frost damage.
2/16 21:07:54.933  0xF130002C5D00BF8A is afflicted by Frostbolt (1).
2/16 21:07:55.102  0x00000000006DE263 hits 0xF130002C5D00BF8A for 158.
2/16 21:07:55.299  0x0000000000672CE0 reflects 38 Nature damage to 0xF130002C5D00BF8A.
2/16 21:07:55.299  0xF130002C5D00BF8A hits 0x0000000000672CE0 for 615.
2/16 21:07:55.497  CAST: 0x00000000006DE13F(Dimitriiy) channels Arcane Missiles(25345)(Rank 8) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:55.682  CAST: 0x00000000001CFD42(Netheras) casts Slice and Dice(6774)(Rank 2) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:55.939  Your Fire Strike hits 0xF130002C5D00BF8A for 4 Fire damage.
2/16 21:07:55.939  Your Divine Strike hits 0xF130002C5D00BF8A for 3 Holy damage.
2/16 21:07:55.939  You hit 0xF130002C5D00BF8A for 136.
2/16 21:07:56.272  0x0000000000426076 hits 0xF130002C5D00BF8A for 75. (glancing)
2/16 21:07:56.276  0xF130002C5D00BF8A suffers 28 Physical damage from 0x0000000000426076's Deep Wound.
2/16 21:07:56.342  CAST: 0xF130002C5D00BF8A(Son of Hakkar) casts Knockdown(16790) on 0x0000000000672CE0(Satrell).
2/16 21:07:56.342  CAST: 0x00000000006DE13F(Dimitriiy) casts Arcane Missiles(25346)(Rank 8) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:56.595  0xF130002C5D00BF8A's Knockdown hits 0x0000000000672CE0 for 94.
2/16 21:07:56.595  0xF130002C5D00BF8A's Knockdown hits 0x00000000006BCEA8 for 94.
2/16 21:07:56.595  0x00000000006BCEA8's Lightning Shield hits 0xF130002C5D00BF8A for 198 Nature damage.
2/16 21:07:56.595  0xF130002C5D00BF8A's Knockdown hits 0x00000000001CFD42 for 107.
2/16 21:07:56.854  CAST: 0x0000000000426076(Gustas) casts Bloodthirst(23894)(Rank 4) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:56.854  0x0000000000426076's Bloodthirst crits 0xF130002C5D00BF8A for 736.
2/16 21:07:56.854  CAST: 0x0000000000426076(Gustas) casts Deep Wounds(12868)(Rank 3) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:56.854  CAST: 0x0000000000426076(Gustas) casts Deep Wound(12721) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:57.064  0x00000000006DE13F's Arcane Missiles crits 0xF130002C5D00BF8A for 882 Arcane damage.
2/16 21:07:57.064  CAST: 0x00000000006DE13F(Dimitriiy) casts Arcane Instability(51977) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:57.064  0x00000000006DE13F's Arcane Instability hits 0xF130002C5D00BF8A for 221 Arcane damage.
2/16 21:07:57.332  0xF130002C5D00BF8A suffers 129 Physical damage from 0x00000000001CFD42's Garrote.
2/16 21:07:57.332  CAST: 0x00000000006DE13F(Dimitriiy) casts Arcane Missiles(25346)(Rank 8) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:57.332  0x0000000000672CE0 reflects 37 Nature damage to 0xF130002C5D00BF8A.
2/16 21:07:57.332  0xF130002C5D00BF8A hits 0x0000000000672CE0 for 643.
2/16 21:07:57.555  0x0000000000426076 hits 0xF130002C5D00BF8A for 166.
2/16 21:07:57.661  CAST: 0x0000000000426076(Gustas) casts Frostbolt(52663) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:57.661  0x0000000000426076 hits 0xF130002C5D00BF8A for 84.
2/16 21:07:57.765  0x00000000006DE263 hits 0xF130002C5D00BF8A for 159.
2/16 21:07:57.904  0x0000000000426076's Frostbolt hits 0xF130002C5D00BF8A for 33 Frost damage.
2/16 21:07:58.249  CAST: 0x00000000006DE13F(Dimitriiy) casts Arcane Missiles(25346)(Rank 8) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:58.368  0x00000000006DE13F's Arcane Missiles crits 0xF130002C5D00BF8A for 882 Arcane damage.
2/16 21:07:58.368  CAST: 0x00000000006DE13F(Dimitriiy) casts Arcane Instability(51977) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:58.368  0x00000000006DE13F's Arcane Instability hits 0xF130002C5D00BF8A for 221 Arcane damage.
2/16 21:07:58.368  CAST: 0x00000000006DE13F(Dimitriiy) casts Arcane Missiles(25346)(Rank 8) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:58.368  0xF130002C5D00BF8A suffers 58 Physical damage from 0x0000000000426076's Deep Wound.
2/16 21:07:58.966  CAST: 0x0000000000426076(Gustas) casts Deep Wounds(12868)(Rank 3) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:58.966  CAST: 0x0000000000426076(Gustas) casts Deep Wound(12721) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:58.966  0x0000000000426076 crits 0xF130002C5D00BF8A for 160.
2/16 21:07:59.134  CAST: 0x00000000006DE13F(Dimitriiy) casts Arcane Missiles(25346)(Rank 8) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:59.293  CAST: 0x00000000001CFD42(Netheras) casts Eviscerate(31016)(Rank 9) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:59.293  0x00000000001CFD42's Eviscerate hits 0xF130002C5D00BF8A for 200.
2/16 21:07:59.293  0x00000000001CFD42 hits 0xF130002C5D00BF8A for 183.
2/16 21:07:59.293  CAST: 0x00000000001CFD42(Netheras) casts Dissolvent Poison II(45880)(Rank 2) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:59.293  0x00000000001CFD42's Dissolvent Poison II hits 0xF130002C5D00BF8A for 180.
2/16 21:07:59.293  0x00000000001CFD42 hits 0xF130002C5D00BF8A for 199.
2/16 21:07:59.293  0x00000000006DE13F's Arcane Missiles hits 0xF130002C5D00BF8A for 441 Arcane damage.
2/16 21:07:59.335  CAST: 0x0000000000426076(Gustas) casts Heroic Strike(11567)(Rank 8) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:59.335  0x0000000000426076's Heroic Strike hits 0xF130002C5D00BF8A for 215.
2/16 21:07:59.335  CAST: 0x0000000000426076(Gustas) casts Frostbolt(52663) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:59.336  0x00000000006DE13F's Arcane Missiles hits 0xF130002C5D00BF8A for 220 Arcane damage.
2/16 21:07:59.336  CAST: 0x00000000006DE13F(Dimitriiy) casts Arcane Missiles(25346)(Rank 8) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:59.434  0xF130002C5D00BF8A hits 0x0000000000426076 for 837.
2/16 21:07:59.535  0x0000000000672CE0 hits 0xF130002C5D00BF8A for 259.
2/16 21:07:59.535  CAST: 0x00000000006DE263(Azrellion) casts Heroic Strike(25286)(Rank 9) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:07:59.535  0x00000000006DE263's Heroic Strike hits 0xF130002C5D00BF8A for 243.
2/16 21:07:59.617  0x0000000000426076's Frostbolt hits 0xF130002C5D00BF8A for 33 Frost damage.
2/16 21:08:00.061  CAST: 0x00000000006DE13F(Dimitriiy) casts Arcane Missiles(25346)(Rank 8) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:08:00.137  0x00000000006DE13F's Arcane Missiles hits 0xF130002C5D00BF8A for 441 Arcane damage.
2/16 21:08:00.266  CAST: 0x00000000001CFD42(Netheras) casts Eviscerate(31016)(Rank 9) on 0xF130002C5D00BF8A(Son of Hakkar).
2/16 21:08:00.266  0x00000000001CFD42's Eviscerate crits 0xF130002C5D00BF8A for 333.
