2/15 17:33:35.102  CAST: 0x0000000000671818(Milktrader) begins to cast Shoot Bow(2480) on 0xF13000290200BF3F(Spectral Tutor).
2/15 17:33:39.693  CAST: 0xF1300028FF00BEC5(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEC5(Diseased Ghoul).
2/15 17:33:39.693  CAST: 0xF1300028FF00BF67(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF67(Diseased Ghoul).
2/15 17:33:39.693  CAST: 0xF1300028FF00BEC0(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEC0(Diseased Ghoul).
2/15 17:33:39.960  CAST: 0x00000000006E5FF9(Mooshmallows) casts Totemic Recall(45513).
2/15 17:33:39.961  0x00000000006E5FF9 gains 65 Mana from 0x00000000006E5FF9's Totemic Recall.
2/15 17:33:39.961  0xF13000290200BF3F hits you for 417.
2/15 17:33:40.209  You fail to perform Sinister Strike: Target not in line of sight.
2/15 17:33:40.308  You fail to perform Sinister Strike: Target not in line of sight.
2/15 17:33:40.308  CAST: 0x0000000000426076(Gustas) casts Sunder Armor(11597)(Rank 5) on 0xF1300028ED0164BB(Scholomance Necromancer).
2/15 17:33:40.308  0x0000000000426076 hits 0xF1300028ED0164BB for 169.
2/15 17:33:40.308  UNIT_INFO: 15.02.26 17:33:40&0xF1300028E500BE93&0&Scholomance Adept&0&&&59&na&7818
2/15 17:33:40.308  0xF1300028E500BE93 begins to cast Frostbolt.
2/15 17:33:40.308  CAST: 0xF1300028E500BE93(Scholomance Adept) begins to cast Frostbolt(15043) on 0x0000000000671818(Milktrader).
2/15 17:33:40.308  CAST: 0xF1300028E50164EC(Scholomance Adept) fails casting Frostbolt(15043).
2/15 17:33:40.308  0xF1300028ED0164BB is afflicted by Sunder Armor (1).
2/15 17:33:40.447  You hit 0xF13000290200BF3F for 269.
2/15 17:33:40.484  You crit 0xF13000290200BF3F for 174.
2/15 17:33:40.556  CAST: 0x0000000000671818(Milktrader) casts Sinister Strike(11294)(Rank 8) on 0xF13000290200BF3F(Spectral Tutor).
2/15 17:33:40.556  Your Sinister Strike hits 0xF13000290200BF3F for 327.
2/15 17:33:40.556  CAST: 0x0000000000671818(Milktrader) casts Hack and Slash(52634) on 0x0000000000671818(Milktrader).
2/15 17:33:40.556  You gain 1 extra attack through Hack and Slash.
2/15 17:33:40.556  You crit 0xF13000290200BF3F for 508.
2/15 17:33:40.556  Slice and Dice fades from you.
2/15 17:33:40.635  0x0000000000426076 gains 1 Rage from 0x0000000000426076's Unbridled Wrath.
2/15 17:33:40.635  0x0000000000426076 hits 0xF1300028ED0164BB for 80.
2/15 17:33:40.826  0xF13000290200BF3F begins to cast Silence.
2/15 17:33:40.826  CAST: 0xF13000290200BF3F(Spectral Tutor) begins to cast Silence(12528) on 0x0000000000671818(Milktrader).
2/15 17:33:41.579  CAST: 0x0000000000671818(Milktrader) casts Slice and Dice(6774)(Rank 2) on 0xF13000290200BF3F(Spectral Tutor).
2/15 17:33:41.579  You gain Slice and Dice (1).
2/15 17:33:41.643  CAST: 0x00000000006E1670(Ashsoul) casts Holy Strike(10333)(Rank 8) on 0xF1300028ED0164BB(Scholomance Necromancer).
2/15 17:33:41.643  0x00000000006E1670's Holy Strike hits 0xF1300028ED0164BB for 352 Holy damage.
2/15 17:33:41.643  CAST: 0x00000000006E1670(Ashsoul) casts Seal of Wisdom(51747)(Rank 4) on 0x00000000006E1670(Ashsoul).
2/15 17:33:41.643  0x00000000006E1670 gains 143 Mana from 0x00000000006E1670's Seal of Wisdom.
2/15 17:33:41.643  0x00000000006E1670's Mending Light heals you for 437.
2/15 17:33:41.643  0x00000000006E1670's Mending Light heals 0x00000000006E1670 for 218.
2/15 17:33:41.643  0x00000000006E1670 gains 90 Mana from 0x00000000006E1670's Mending Light.
2/15 17:33:41.643  0x00000000006E5FF9 gains 90 Mana from 0x00000000006E1670's Mending Light.
2/15 17:33:41.643  CAST: 0x00000000006E1670(Ashsoul) casts Seal of Wisdom(51747)(Rank 4) on 0x00000000006E1670(Ashsoul).
2/15 17:33:41.643  0x00000000006E1670 gains 143 Mana from 0x00000000006E1670's Seal of Wisdom.
2/15 17:33:41.648  0x00000000006E1670 hits 0xF1300028ED0164BB for 123.
2/15 17:33:41.648  0xF1300028ED0164BB misses 0x00000000006E1670.
2/15 17:33:41.765  0xF1300028E50164EC begins to cast Frostbolt.
2/15 17:33:41.765  CAST: 0xF1300028E50164EC(Scholomance Adept) begins to cast Frostbolt(15043) on 0x0000000000671818(Milktrader).
2/15 17:33:41.915  CAST: 0x0000000000426076(Gustas) casts Deep Wounds(12868)(Rank 3) on 0xF1300028ED0164BB(Scholomance Necromancer).
2/15 17:33:41.915  CAST: 0x0000000000426076(Gustas) casts Deep Wound(12721) on 0xF1300028ED0164BB(Scholomance Necromancer).
2/15 17:33:41.915  CAST: 0x0000000000426076(Gustas) casts Flurry(12970)(Rank 5) on 0x0000000000426076(Gustas).
2/15 17:33:41.915  0x0000000000426076 crits 0xF1300028ED0164BB for 190.
2/15 17:33:41.915  0xF1300028ED0164BB is afflicted by Deep Wound (1).
2/15 17:33:42.065  0x0000000000426076 hits 0xF1300028ED0164BB for 170.
2/15 17:33:42.365  CAST: 0xF13000290200BF3F(Spectral Tutor) fails casting Silence(12528).
2/15 17:33:42.597  CAST: 0x0000000000671818(Milktrader) casts Adrenaline Rush(13750).
2/15 17:33:42.597  You gain Adrenaline Rush (1).
2/15 17:33:42.672  CAST: 0xF1300028FF00BF19(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF19(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF00BF1B(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF1B(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF00BF1A(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF1A(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF00BF1C(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF1C(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF00BE80(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BE80(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF00BDB3(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BDB3(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF016514(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF016514(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF01651B(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF01651B(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF016513(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF016513(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF00BE81(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BE81(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF00BE7D(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BE7D(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF00BD5D(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BD5D(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF00BE84(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BE84(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF00BE79(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BE79(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF00BF57(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF57(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF00BEA9(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEA9(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF00BEBB(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEBB(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF00BDC9(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BDC9(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF00BEB2(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEB2(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF016517(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF016517(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF00BEB0(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEB0(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF00BF61(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF61(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF00BEAC(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEAC(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF00BEC4(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEC4(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF00BF5B(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF5B(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF00BEC5(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEC5(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF00BF67(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BF67(Diseased Ghoul).
2/15 17:33:42.672  CAST: 0xF1300028FF00BEC0(Diseased Ghoul) casts Disease Cloud(12626) on 0xF1300028FF00BEC0(Diseased Ghoul).
2/15 17:33:42.779  You crit 0xF13000290200BF3F for 140.
2/15 17:33:42.779  CAST: 0x00000000001CFD42(Netheras) casts Cheap Shot(1833) on 0xF13000290200BF3F(Spectral Tutor).
2/15 17:33:42.779  CAST: 0x0000000000426076(Gustas) casts Bloodthirst(23894)(Rank 4) on 0xF1300028ED0164BB(Scholomance Necromancer).
2/15 17:33:42.779  0x0000000000426076's Bloodthirst hits 0xF1300028ED0164BB for 363.
2/15 17:33:42.779  0xF13000290200BF3F is afflicted by Cheap Shot (1).
2/15 17:33:42.779  0x0000000000426076 gains Thirst for Blood (1).
2/15 17:33:42.779  Stealth fades from 0x00000000001CFD42.
2/15 17:33:42.859  You hit 0xF1300028ED0164BB for 268.
2/15 17:33:42.859  CAST: 0x00000000001CFD42(Netheras) casts Dissolvent Poison II(45880)(Rank 2) on 0xF13000290200BF3F(Spectral Tutor).
2/15 17:33:42.859  0x00000000001CFD42's Dissolvent Poison II hits 0xF13000290200BF3F for 202.
2/15 17:33:42.859  0x00000000001CFD42 hits 0xF13000290200BF3F for 235.
2/15 17:33:43.005  CAST: 0x00000000006E5FF9(Mooshmallows) casts Water Shield(51536)(Rank 5).
2/15 17:33:43.267  0x0000000000426076 hits 0xF1300028ED0164BB for 78.
2/15 17:33:43.305  CAST: 0xF1300028E500BE93(Scholomance Adept) casts Frostbolt(15043) on 0x0000000000671818(Milktrader).
2/15 17:33:43.380  0xF1300028E500BE93 begins to cast Frostbolt.
2/15 17:33:43.380  CAST: 0xF1300028E500BE93(Scholomance Adept) begins to cast Frostbolt(15043) on 0x0000000000671818(Milktrader).
2/15 17:33:43.380  0xF1300028ED0164BB suffers 20 Physical damage from 0x0000000000426076's Deep Wound.
2/15 17:33:43.458  Holy Strength fades from you.
2/15 17:33:43.514  You fail to perform Ghostly Strike: Not yet recovered.
2/15 17:33:43.562  0xF1300028ED0164BB begins to cast Shadow Bolt Volley.
2/15 17:33:43.562  CAST: 0xF1300028ED0164BB(Scholomance Necromancer) begins to cast Shadow Bolt Volley(14887) on 0x0000000000426076(Gustas).
2/15 17:33:43.650  Dazed fades from you.
2/15 17:33:43.711  You fail to perform Ghostly Strike: Not yet recovered.
2/15 17:33:43.801  Taste for Blood fades from 0x00000000001CFD42.
2/15 17:33:43.870  You fail to perform Ghostly Strike: Not yet recovered.
2/15 17:33:43.883  You hit 0xF1300028ED0164BB for 78.
2/15 17:33:43.883  0x0000000000426076 hits 0xF1300028ED0164BB for 191.
2/15 17:33:43.978  You fail to perform Ghostly Strike: Not yet recovered.
2/15 17:33:44.029  CAST: 0x00000000006E1670(Ashsoul) casts Seal of Wisdom(51747)(Rank 4) on 0x00000000006E1670(Ashsoul).
2/15 17:33:44.029  0x00000000006E1670 gains 143 Mana from 0x00000000006E1670's Seal of Wisdom.
2/15 17:33:44.029  0x00000000006E1670 hits 0xF13000290200BF3F for 144.
2/15 17:33:44.102  CAST: 0x00000000006E5FF9(Mooshmallows) casts Stoneskin Totem(10408)(Rank 6).
2/15 17:33:44.102  CAST: 0xF130001CC82793CE(Stoneskin Totem VI) casts Stoneskin(10405)(Rank 6) on 0xF130001CC82793CE(Stoneskin Totem VI).
2/15 17:33:44.102  0x00000000006E5FF9 casts Stoneskin Totem.
2/15 17:33:44.102  0xF1300028E500BE93's Frostbolt hits you for 367 Frost damage.
2/15 17:33:44.179  You are afflicted by Frostbolt (1).
2/15 17:33:44.571  0x0000000000426076 gains 1 Rage from 0x0000000000426076's Unbridled Wrath.
2/15 17:33:44.571  0x0000000000426076 hits 0xF1300028ED0164BB for 76.
2/15 17:33:44.622  CAST: 0x0000000000671818(Milktrader) casts Sinister Strike(11294)(Rank 8) on 0xF1300028ED0164BB(Scholomance Necromancer).
2/15 17:33:44.622  Your Sinister Strike crits 0xF1300028ED0164BB for 728.
2/15 17:33:44.622  CAST: 0x0000000000671818(Milktrader) casts Holy Strength(20007) on 0x0000000000671818(Milktrader).
2/15 17:33:44.622  Your Holy Strength heals you for 75.
2/15 17:33:44.622  CAST: 0x0000000000671818(Milktrader) casts Agitating Poison I(45613)(Rank 1) on 0xF1300028ED0164BB(Scholomance Necromancer).
2/15 17:33:44.622  Your Agitating Poison I crits 0xF1300028ED0164BB for 104 Nature damage.
2/15 17:33:44.622  CAST: 0x00000000006E5FF9(Mooshmallows) casts Mana Spring Totem(10497)(Rank 4).
2/15 17:33:44.622  CAST: 0xF130001CF82793CF(Mana Spring Totem IV) casts Mana Spring(10494)(Rank 4) on 0xF130001CF82793CF(Mana Spring Totem IV).
2/15 17:33:44.622  0x00000000006E5FF9 casts Mana Spring Totem.
2/15 17:33:44.622  You gain Holy Strength (1).
2/15 17:33:44.701  CAST: 0x00000000001CFD42(Netheras) casts Taste for Blood(52530)(Rank 3) on 0x00000000001CFD42(Netheras).
2/15 17:33:44.701  0x00000000001CFD42 gains 20 Energy from 0x00000000001CFD42's Relentless Strikes.
2/15 17:33:44.701  You hit 0xF1300028ED0164BB for 256.
2/15 17:33:44.701  CAST: 0x00000000001CFD42(Netheras) casts Rupture(11275)(Rank 6) on 0xF13000290200BF3F(Spectral Tutor).
2/15 17:33:44.701  0x00000000001CFD42's Rupture fails. 0xF13000290200BF3F is immune.
2/15 17:33:44.701  UNIT_INFO: 15.02.26 17:33:44&0xF130001CF82793CF&0&Mana Spring Totem IV&1&0x00000000006E5FF9&10494=1&60&na&5
2/15 17:33:44.701  0xF130001CF82793CF gains Mana Spring (1).
2/15 17:33:44.701  0x00000000001CFD42 gains Taste for Blood (1).
2/15 17:33:44.701  0x00000000001CFD42 gains Relentless Strikes (1).
2/15 17:33:44.701  0x00000000001CFD42 gains Mana Spring (1).
2/15 17:33:44.754  CAST: 0x00000000001CFD42(Netheras) casts Dissolvent Poison II(45880)(Rank 2) on 0xF13000290200BF3F(Spectral Tutor).
2/15 17:33:44.764  0x00000000001CFD42's Dissolvent Poison II hits 0xF13000290200BF3F for 193.
2/15 17:33:44.764  0x00000000001CFD42 crits 0xF13000290200BF3F for 506.
2/15 17:33:44.764  CAST: 0xF1300028E50164EC(Scholomance Adept) casts Frostbolt(15043) on 0x0000000000671818(Milktrader).
2/15 17:33:44.764  0x00000000006E5FF9 gains Mana Spring (1).
2/15 17:33:44.764  0x0000000000426076 gains Mana Spring (1).
2/15 17:33:44.764  You gain Mana Spring (1).
2/15 17:33:44.764  0x00000000006E1670 gains Mana Spring (1).
2/15 17:33:44.816  0x00000000001CFD42 misses 0xF13000290200BF3F.
2/15 17:33:44.896  0xF1300028ED0164BB suffers 20 Physical damage from 0x0000000000426076's Deep Wound.
2/15 17:33:44.957  CAST: 0x0000000000671818(Milktrader) casts Agitating Poison I(45613)(Rank 1) on 0xF1300028ED0164BB(Scholomance Necromancer).
2/15 17:33:44.957  Your Agitating Poison I hits 0xF1300028ED0164BB for 85 Nature damage.
2/15 17:33:44.957  You hit 0xF1300028ED0164BB for 82.
2/15 17:33:45.045  CAST: 0x00000000006E5FF9(Mooshmallows) casts Windfury Totem(8512).
2/15 17:33:45.045  0x00000000006E5FF9 casts Windfury Totem.
2/15 17:33:45.045  0xF1300028E50164EC begins to cast Frostbolt.
2/15 17:33:45.045  CAST: 0xF1300028E50164EC(Scholomance Adept) begins to cast Frostbolt(15043) on 0x00000000006E1670(Ashsoul).
2/15 17:33:45.102  0xF1300028E50164EC's Frostbolt was resisted.
2/15 17:33:45.600  CAST: 0x00000000006E1670(Ashsoul) casts Holy Shock(51786)(Rank 4) on 0x0000000000671818(Milktrader).
2/15 17:33:45.600  CAST: 0x00000000006E1670(Ashsoul) casts Holy Shock(51787)(Rank 4) on 0x0000000000671818(Milktrader).
2/15 17:33:45.600  0x00000000006E1670's Holy Shock heals you for 1143.
