# turtle legacy spell compatibility snapshot
# spell_id	field	JSON value
# Values are regenerated with: make update-spell-goldens

# spell 1
10	effect.2.aura	{"value":0,"string":"None"}
10	effect.2.base_points	0
10	effect.2.effective_base_points	1
10	effect.2.misc	[0]
10	effect.2.targets	[0,0]
10	spell_damage_type	2
10	attack_outcome	113
10	is_deprecated	false
10	affects.school.physical	false
10	affects.school.holy	false
10	affects.school.fire	false
10	affects.school.nature	false
10	affects.school.frost	false
10	affects.school.shadow	false
10	affects.school.arcane	false

# spell 17
17	id	17
17	name	"Power Word: Shield"
17	subtext	"Rank 1"
17	school	{"value":1,"string":"Holy"}
17	power.type	{"value":0,"string":"Mana"}
17	power.mana_cost	45
17	power.mana_cost_pct	0
17	power.mana_cost_per_level	0
17	power.mana_per_second	0
17	powers.count	1
17	default_power.type	0
17	default_power.mana_cost	45
17	default_power.mana_cost_pct	0
17	default_power.mana_cost_per_level	0
17	default_power.mana_per_second	0
17	effects.count	3
17	effect.0.index	0
17	effect.0.type	{"value":6,"string":"ApplyAura"}
17	effect.0.aura	{"value":69,"string":"SchoolAbsorb"}
17	effect.0.base_points	43
17	effect.0.effective_base_points	44
17	effect.0.misc	[127]
17	effect.0.targets	[57,0]
17	effect.1.index	1
17	effect.1.type	{"value":0,"string":"None"}
17	effect.1.aura	{"value":0,"string":"None"}
17	effect.1.base_points	0
17	effect.1.effective_base_points	1
17	effect.1.misc	[0]
17	effect.1.targets	[0,0]
17	effect.2.index	2
17	effect.2.type	{"value":0,"string":"None"}
17	effect.2.aura	{"value":0,"string":"None"}
17	effect.2.base_points	0
17	effect.2.effective_base_points	1
17	effect.2.misc	[0]
17	effect.2.targets	[0,0]
17	spell_damage_type	0
17	attack_outcome	113
17	is_deprecated	false
17	affects.school.physical	false
17	affects.school.holy	false
17	affects.school.fire	false
17	affects.school.nature	false
17	affects.school.frost	false
17	affects.school.shadow	false
17	affects.school.arcane	false

# spell 75
75	id	75
75	name	"Auto Shot"
75	subtext	"\u003cempty\u003e"
75	school	{"value":0,"string":"Physical"}
75	power.type	{"value":0,"string":"Mana"}
75	power.mana_cost	0
75	power.mana_cost_pct	0
75	power.mana_cost_per_level	0
75	power.mana_per_second	0
75	powers.count	1
75	default_power.type	0
75	default_power.mana_cost	0
75	default_power.mana_cost_pct	0
75	default_power.mana_cost_per_level	0
75	default_power.mana_per_second	0
75	effects.count	3
75	effect.0.index	0
75	effect.0.type	{"value":58,"string":"WeaponDamage"}
75	effect.0.aura	{"value":0,"string":"None"}
75	effect.0.base_points	-1
75	effect.0.effective_base_points	0
75	effect.0.misc	[0]
75	effect.0.targets	[6,0]
75	effect.1.index	1
75	effect.1.type	{"value":0,"string":"None"}
75	effect.1.aura	{"value":0,"string":"None"}
75	effect.1.base_points	0
75	effect.1.effective_base_points	1
75	effect.1.misc	[0]
75	effect.1.targets	[0,0]
75	effect.2.index	2
75	effect.2.type	{"value":0,"string":"None"}
75	effect.2.aura	{"value":0,"string":"None"}
75	effect.2.base_points	0
75	effect.2.effective_base_points	1
75	effect.2.misc	[0]
75	effect.2.targets	[0,0]
75	spell_damage_type	1
75	attack_outcome	99
75	is_deprecated	false
75	affects.school.physical	false
75	affects.school.holy	false
75	affects.school.fire	false
75	affects.school.nature	false
75	affects.school.frost	false
75	affects.school.shadow	false
75	affects.school.arcane	false

# spell 100
100	id	100
100	name	"Charge"
100	subtext	"Rank 1"
100	school	{"value":0,"string":"Physical"}
100	power.type	{"value":1,"string":"Rage"}
100	power.mana_cost	0
100	power.mana_cost_pct	0
100	power.mana_cost_per_level	0
100	power.mana_per_second	0
100	powers.count	1
100	default_power.type	1
100	default_power.mana_cost	0
100	default_power.mana_cost_pct	0
100	default_power.mana_cost_per_level	0
100	default_power.mana_per_second	0
100	effects.count	3
100	effect.0.index	0
100	effect.0.type	{"value":96,"string":"Charge"}
100	effect.0.aura	{"value":0,"string":"None"}
100	effect.0.base_points	0
100	effect.0.effective_base_points	1
100	effect.0.misc	[0]
100	effect.0.targets	[6,0]
100	effect.1.index	1
100	effect.1.type	{"value":30,"string":"Energize"}
100	effect.1.aura	{"value":0,"string":"None"}
100	effect.1.base_points	89
100	effect.1.effective_base_points	90
100	effect.1.misc	[1]
100	effect.1.targets	[1,0]
100	effect.2.index	2
100	effect.2.type	{"value":64,"string":"TriggerSpell"}
100	effect.2.aura	{"value":0,"string":"None"}
100	effect.2.base_points	0
100	effect.2.effective_base_points	1
100	effect.2.misc	[0]
100	effect.2.targets	[6,0]
100	spell_damage_type	1
100	attack_outcome	33
100	is_deprecated	false
100	affects.school.physical	false
100	affects.school.holy	false
100	affects.school.fire	false
100	affects.school.nature	false
100	affects.school.frost	false
100	affects.school.shadow	false
100	affects.school.arcane	false

# spell 116
116	id	116
116	name	"Frostbolt"
116	subtext	"Rank 1"
116	school	{"value":8,"string":"Frost"}
116	power.type	{"value":0,"string":"Mana"}
116	power.mana_cost	25
116	power.mana_cost_pct	0
116	power.mana_cost_per_level	0
116	power.mana_per_second	0
116	powers.count	1
116	default_power.type	0
116	default_power.mana_cost	25
116	default_power.mana_cost_pct	0
116	default_power.mana_cost_per_level	0
116	default_power.mana_per_second	0
116	effects.count	3
116	effect.0.index	0
116	effect.0.type	{"value":6,"string":"ApplyAura"}
116	effect.0.aura	{"value":33,"string":"ModDecreaseSpeed"}
116	effect.0.base_points	-41
116	effect.0.effective_base_points	-40
116	effect.0.misc	[0]
116	effect.0.targets	[6,0]
116	effect.1.index	1
116	effect.1.type	{"value":2,"string":"SchoolDMG"}
116	effect.1.aura	{"value":0,"string":"None"}
116	effect.1.base_points	17
116	effect.1.effective_base_points	18
116	effect.1.misc	[0]
116	effect.1.targets	[6,0]
116	effect.2.index	2
116	effect.2.type	{"value":0,"string":"None"}
116	effect.2.aura	{"value":0,"string":"None"}
116	effect.2.base_points	0
116	effect.2.effective_base_points	1
116	effect.2.misc	[0]
116	effect.2.targets	[0,0]
116	spell_damage_type	1
116	attack_outcome	113
116	is_deprecated	false
116	affects.school.physical	false
116	affects.school.holy	false
116	affects.school.fire	false
116	affects.school.nature	false
116	affects.school.frost	false
116	affects.school.shadow	false
116	affects.school.arcane	false

# spell 118
118	id	118
118	name	"Polymorph"
118	subtext	"Rank 1"
118	school	{"value":32,"string":"Arcane"}
118	power.type	{"value":0,"string":"Mana"}
118	power.mana_cost	60
118	power.mana_cost_pct	0
118	power.mana_cost_per_level	0
118	power.mana_per_second	0
118	powers.count	1
118	default_power.type	0
118	default_power.mana_cost	60
118	default_power.mana_cost_pct	0
118	default_power.mana_cost_per_level	0
118	default_power.mana_per_second	0
118	effects.count	3
118	effect.0.index	0
118	effect.0.type	{"value":6,"string":"ApplyAura"}
118	effect.0.aura	{"value":5,"string":"ModConfuse"}
118	effect.0.base_points	-1
118	effect.0.effective_base_points	0
118	effect.0.misc	[0]
118	effect.0.targets	[6,0]
118	effect.1.index	1
118	effect.1.type	{"value":6,"string":"ApplyAura"}
118	effect.1.aura	{"value":56,"string":"Transform"}
118	effect.1.base_points	0
118	effect.1.effective_base_points	1
118	effect.1.misc	[16372]
118	effect.1.targets	[6,0]
118	effect.2.index	2
118	effect.2.type	{"value":108,"string":"DispelMechanic"}
118	effect.2.aura	{"value":0,"string":"None"}
118	effect.2.base_points	99
118	effect.2.effective_base_points	100
118	effect.2.misc	[21]
118	effect.2.targets	[6,0]
118	spell_damage_type	0
118	attack_outcome	113
118	is_deprecated	false
118	affects.school.physical	false
118	affects.school.holy	false
118	affects.school.fire	false
118	affects.school.nature	false
118	affects.school.frost	false
118	affects.school.shadow	false
118	affects.school.arcane	false

# spell 133
133	id	133
133	name	"Fireball"
133	subtext	"Rank 1"
133	school	{"value":2,"string":"Fire"}
133	power.type	{"value":0,"string":"Mana"}
133	power.mana_cost	30
133	power.mana_cost_pct	0
133	power.mana_cost_per_level	0
133	power.mana_per_second	0
133	powers.count	1
133	default_power.type	0
133	default_power.mana_cost	30
133	default_power.mana_cost_pct	0
133	default_power.mana_cost_per_level	0
133	default_power.mana_per_second	0
133	effects.count	3
133	effect.0.index	0
133	effect.0.type	{"value":2,"string":"SchoolDMG"}
133	effect.0.aura	{"value":0,"string":"None"}
133	effect.0.base_points	13
133	effect.0.effective_base_points	14
133	effect.0.misc	[0]
133	effect.0.targets	[6,0]
133	effect.1.index	1
133	effect.1.type	{"value":6,"string":"ApplyAura"}
133	effect.1.aura	{"value":3,"string":"PeriodicDamage"}
133	effect.1.base_points	0
133	effect.1.effective_base_points	1
133	effect.1.misc	[0]
133	effect.1.targets	[6,0]
133	effect.2.index	2
133	effect.2.type	{"value":0,"string":"None"}
133	effect.2.aura	{"value":0,"string":"None"}
133	effect.2.base_points	0
133	effect.2.effective_base_points	1
133	effect.2.misc	[0]
133	effect.2.targets	[0,0]
133	spell_damage_type	3
133	attack_outcome	113
133	is_deprecated	false
133	affects.school.physical	false
133	affects.school.holy	false
133	affects.school.fire	false
133	affects.school.nature	false
133	affects.school.frost	false
133	affects.school.shadow	false
133	affects.school.arcane	false

# spell 139
139	id	139
139	name	"Renew"
139	subtext	"Rank 1"
139	school	{"value":1,"string":"Holy"}
139	power.type	{"value":0,"string":"Mana"}
139	power.mana_cost	30
139	power.mana_cost_pct	0
139	power.mana_cost_per_level	0
139	power.mana_per_second	0
139	powers.count	1
139	default_power.type	0
139	default_power.mana_cost	30
139	default_power.mana_cost_pct	0
139	default_power.mana_cost_per_level	0
139	default_power.mana_per_second	0
139	effects.count	3
139	effect.0.index	0
139	effect.0.type	{"value":6,"string":"ApplyAura"}
139	effect.0.aura	{"value":8,"string":"PeriodicHeal"}
139	effect.0.base_points	8
139	effect.0.effective_base_points	9
139	effect.0.misc	[0]
139	effect.0.targets	[21,0]
139	effect.1.index	1
139	effect.1.type	{"value":0,"string":"None"}
139	effect.1.aura	{"value":0,"string":"None"}
139	effect.1.base_points	0
139	effect.1.effective_base_points	1
139	effect.1.misc	[0]
139	effect.1.targets	[0,0]
139	effect.2.index	2
139	effect.2.type	{"value":0,"string":"None"}
139	effect.2.aura	{"value":0,"string":"None"}
139	effect.2.base_points	0
139	effect.2.effective_base_points	1
139	effect.2.misc	[0]
139	effect.2.targets	[0,0]
139	spell_damage_type	2
139	attack_outcome	113
139	is_deprecated	false
139	affects.school.physical	false
139	affects.school.holy	false
139	affects.school.fire	false
139	affects.school.nature	false
139	affects.school.frost	false
139	affects.school.shadow	false
139	affects.school.arcane	false

# spell 172
172	id	172
172	name	"Corruption"
172	subtext	"Rank 1"
172	school	{"value":16,"string":"Shadow"}
172	power.type	{"value":0,"string":"Mana"}
172	power.mana_cost	35
172	power.mana_cost_pct	0
172	power.mana_cost_per_level	0
172	power.mana_per_second	0
172	powers.count	1
172	default_power.type	0
172	default_power.mana_cost	35
172	default_power.mana_cost_pct	0
172	default_power.mana_cost_per_level	0
172	default_power.mana_per_second	0
172	effects.count	3
172	effect.0.index	0
172	effect.0.type	{"value":6,"string":"ApplyAura"}
172	effect.0.aura	{"value":3,"string":"PeriodicDamage"}
172	effect.0.base_points	9
172	effect.0.effective_base_points	10
172	effect.0.misc	[0]
172	effect.0.targets	[6,0]
172	effect.1.index	1
172	effect.1.type	{"value":0,"string":"None"}
172	effect.1.aura	{"value":0,"string":"None"}
172	effect.1.base_points	0
172	effect.1.effective_base_points	1
172	effect.1.misc	[0]
172	effect.1.targets	[0,0]
172	effect.2.index	2
172	effect.2.type	{"value":0,"string":"None"}
172	effect.2.aura	{"value":0,"string":"None"}
172	effect.2.base_points	0
172	effect.2.effective_base_points	1
172	effect.2.misc	[0]
172	effect.2.targets	[0,0]
172	spell_damage_type	2
172	attack_outcome	113
172	is_deprecated	false
172	affects.school.physical	false
172	affects.school.holy	false
172	affects.school.fire	false
172	affects.school.nature	false
172	affects.school.frost	false
172	affects.school.shadow	false
172	affects.school.arcane	false

# spell 331
331	id	331
331	name	"Healing Wave"
331	subtext	"Rank 1"
331	school	{"value":4,"string":"Nature"}
331	power.type	{"value":0,"string":"Mana"}
331	power.mana_cost	25
331	power.mana_cost_pct	0
331	power.mana_cost_per_level	0
331	power.mana_per_second	0
331	powers.count	1
331	default_power.type	0
331	default_power.mana_cost	25
331	default_power.mana_cost_pct	0
331	default_power.mana_cost_per_level	0
331	default_power.mana_per_second	0
331	effects.count	3
331	effect.0.index	0
331	effect.0.type	{"value":10,"string":"Heal"}
331	effect.0.aura	{"value":0,"string":"None"}
331	effect.0.base_points	33
331	effect.0.effective_base_points	34
331	effect.0.misc	[0]
331	effect.0.targets	[45,0]
331	effect.1.index	1
331	effect.1.type	{"value":0,"string":"None"}
331	effect.1.aura	{"value":0,"string":"None"}
331	effect.1.base_points	0
331	effect.1.effective_base_points	1
331	effect.1.misc	[0]
331	effect.1.targets	[0,0]
331	effect.2.index	2
331	effect.2.type	{"value":0,"string":"None"}
331	effect.2.aura	{"value":0,"string":"None"}
331	effect.2.base_points	0
331	effect.2.effective_base_points	1
331	effect.2.misc	[0]
331	effect.2.targets	[0,0]
331	spell_damage_type	1
331	attack_outcome	113
331	is_deprecated	false
331	affects.school.physical	false
331	affects.school.holy	false
331	affects.school.fire	false
331	affects.school.nature	false
331	affects.school.frost	false
331	affects.school.shadow	false
331	affects.school.arcane	false

# spell 339
339	id	339
339	name	"Entangling Roots"
339	subtext	"Rank 1"
339	school	{"value":4,"string":"Nature"}
339	power.type	{"value":0,"string":"Mana"}
339	power.mana_cost	50
339	power.mana_cost_pct	0
339	power.mana_cost_per_level	0
339	power.mana_per_second	0
339	powers.count	1
339	default_power.type	0
339	default_power.mana_cost	50
339	default_power.mana_cost_pct	0
339	default_power.mana_cost_per_level	0
339	default_power.mana_per_second	0
339	effects.count	3
339	effect.0.index	0
339	effect.0.type	{"value":6,"string":"ApplyAura"}
339	effect.0.aura	{"value":26,"string":"ModRoot"}
339	effect.0.base_points	-1
339	effect.0.effective_base_points	0
339	effect.0.misc	[0]
339	effect.0.targets	[6,0]
339	effect.1.index	1
339	effect.1.type	{"value":6,"string":"ApplyAura"}
339	effect.1.aura	{"value":3,"string":"PeriodicDamage"}
339	effect.1.base_points	4
339	effect.1.effective_base_points	5
339	effect.1.misc	[0]
339	effect.1.targets	[6,0]
339	effect.2.index	2
339	effect.2.type	{"value":0,"string":"None"}
339	effect.2.aura	{"value":0,"string":"None"}
339	effect.2.base_points	0
339	effect.2.effective_base_points	1
339	effect.2.misc	[0]
339	effect.2.targets	[0,0]
339	spell_damage_type	2
339	attack_outcome	113
339	is_deprecated	false
339	affects.school.physical	false
339	affects.school.holy	false
339	affects.school.fire	false
339	affects.school.nature	false
339	affects.school.frost	false
339	affects.school.shadow	false
339	affects.school.arcane	false

# spell 348
348	id	348
348	name	"Immolate"
348	subtext	"Rank 1"
348	school	{"value":2,"string":"Fire"}
348	power.type	{"value":0,"string":"Mana"}
348	power.mana_cost	25
348	power.mana_cost_pct	0
348	power.mana_cost_per_level	0
348	power.mana_per_second	0
348	powers.count	1
348	default_power.type	0
348	default_power.mana_cost	25
348	default_power.mana_cost_pct	0
348	default_power.mana_cost_per_level	0
348	default_power.mana_per_second	0
348	effects.count	3
348	effect.0.index	0
348	effect.0.type	{"value":6,"string":"ApplyAura"}
348	effect.0.aura	{"value":3,"string":"PeriodicDamage"}
348	effect.0.base_points	3
348	effect.0.effective_base_points	4
348	effect.0.misc	[0]
348	effect.0.targets	[6,0]
348	effect.1.index	1
348	effect.1.type	{"value":2,"string":"SchoolDMG"}
348	effect.1.aura	{"value":0,"string":"None"}
348	effect.1.base_points	7
348	effect.1.effective_base_points	8
348	effect.1.misc	[0]
348	effect.1.targets	[6,0]
348	effect.2.index	2
348	effect.2.type	{"value":0,"string":"None"}
348	effect.2.aura	{"value":0,"string":"None"}
348	effect.2.base_points	0
348	effect.2.effective_base_points	1
348	effect.2.misc	[0]
348	effect.2.targets	[0,0]
348	spell_damage_type	3
348	attack_outcome	113
348	is_deprecated	false
348	affects.school.physical	false
348	affects.school.holy	false
348	affects.school.fire	false
348	affects.school.nature	false
348	affects.school.frost	false
348	affects.school.shadow	false
348	affects.school.arcane	false

# spell 403
403	id	403
403	name	"Lightning Bolt"
403	subtext	"Rank 1"
403	school	{"value":4,"string":"Nature"}
403	power.type	{"value":0,"string":"Mana"}
403	power.mana_cost	15
403	power.mana_cost_pct	0
403	power.mana_cost_per_level	0
403	power.mana_per_second	0
403	powers.count	1
403	default_power.type	0
403	default_power.mana_cost	15
403	default_power.mana_cost_pct	0
403	default_power.mana_cost_per_level	0
403	default_power.mana_per_second	0
403	effects.count	3
403	effect.0.index	0
403	effect.0.type	{"value":2,"string":"SchoolDMG"}
403	effect.0.aura	{"value":0,"string":"None"}
403	effect.0.base_points	12
403	effect.0.effective_base_points	13
403	effect.0.misc	[0]
403	effect.0.targets	[6,0]
403	effect.1.index	1
403	effect.1.type	{"value":0,"string":"None"}
403	effect.1.aura	{"value":0,"string":"None"}
403	effect.1.base_points	0
403	effect.1.effective_base_points	1
403	effect.1.misc	[0]
403	effect.1.targets	[0,0]
403	effect.2.index	2
403	effect.2.type	{"value":0,"string":"None"}
403	effect.2.aura	{"value":0,"string":"None"}
403	effect.2.base_points	0
403	effect.2.effective_base_points	1
403	effect.2.misc	[0]
403	effect.2.targets	[0,0]
403	spell_damage_type	1
403	attack_outcome	113
403	is_deprecated	false
403	affects.school.physical	false
403	affects.school.holy	false
403	affects.school.fire	false
403	affects.school.nature	false
403	affects.school.frost	false
403	affects.school.shadow	false
403	affects.school.arcane	false

# spell 527
527	id	527
527	name	"Dispel Magic"
527	subtext	"Rank 1"
527	school	{"value":1,"string":"Holy"}
527	power.type	{"value":0,"string":"Mana"}
527	power.mana_cost	0
527	power.mana_cost_pct	18
527	power.mana_cost_per_level	0
527	power.mana_per_second	0
527	powers.count	1
527	default_power.type	0
527	default_power.mana_cost	0
527	default_power.mana_cost_pct	18
527	default_power.mana_cost_per_level	0
527	default_power.mana_per_second	0
527	effects.count	3
527	effect.0.index	0
527	effect.0.type	{"value":38,"string":"Dispel"}
527	effect.0.aura	{"value":0,"string":"None"}
527	effect.0.base_points	0
527	effect.0.effective_base_points	1
527	effect.0.misc	[1]
527	effect.0.targets	[25,0]
527	effect.1.index	1
527	effect.1.type	{"value":0,"string":"None"}
527	effect.1.aura	{"value":0,"string":"None"}
527	effect.1.base_points	0
527	effect.1.effective_base_points	1
527	effect.1.misc	[0]
527	effect.1.targets	[0,0]
527	effect.2.index	2
527	effect.2.type	{"value":0,"string":"None"}
527	effect.2.aura	{"value":0,"string":"None"}
527	effect.2.base_points	0
527	effect.2.effective_base_points	1
527	effect.2.misc	[0]
527	effect.2.targets	[0,0]
527	spell_damage_type	0
527	attack_outcome	113
527	is_deprecated	false
527	affects.school.physical	false
527	affects.school.holy	false
527	affects.school.fire	false
527	affects.school.nature	false
527	affects.school.frost	false
527	affects.school.shadow	false
527	affects.school.arcane	false

# spell 585
585	id	585
585	name	"Smite"
585	subtext	"Rank 1"
585	school	{"value":1,"string":"Holy"}
585	power.type	{"value":0,"string":"Mana"}
585	power.mana_cost	20
585	power.mana_cost_pct	0
585	power.mana_cost_per_level	0
585	power.mana_per_second	0
585	powers.count	1
585	default_power.type	0
585	default_power.mana_cost	20
585	default_power.mana_cost_pct	0
585	default_power.mana_cost_per_level	0
585	default_power.mana_per_second	0
585	effects.count	3
585	effect.0.index	0
585	effect.0.type	{"value":2,"string":"SchoolDMG"}
585	effect.0.aura	{"value":0,"string":"None"}
585	effect.0.base_points	12
585	effect.0.effective_base_points	13
585	effect.0.misc	[0]
585	effect.0.targets	[6,0]
585	effect.1.index	1
585	effect.1.type	{"value":0,"string":"None"}
585	effect.1.aura	{"value":0,"string":"None"}
585	effect.1.base_points	0
585	effect.1.effective_base_points	1
585	effect.1.misc	[0]
585	effect.1.targets	[0,0]
585	effect.2.index	2
585	effect.2.type	{"value":0,"string":"None"}
585	effect.2.aura	{"value":0,"string":"None"}
585	effect.2.base_points	0
585	effect.2.effective_base_points	1
585	effect.2.misc	[0]
585	effect.2.targets	[0,0]
585	spell_damage_type	1
585	attack_outcome	113
585	is_deprecated	false
585	affects.school.physical	false
585	affects.school.holy	false
585	affects.school.fire	false
585	affects.school.nature	false
585	affects.school.frost	false
585	affects.school.shadow	false
585	affects.school.arcane	false

# spell 589
589	id	589
589	name	"Shadow Word: Pain"
589	subtext	"Rank 1"
589	school	{"value":16,"string":"Shadow"}
589	power.type	{"value":0,"string":"Mana"}
589	power.mana_cost	25
589	power.mana_cost_pct	0
589	power.mana_cost_per_level	0
589	power.mana_per_second	0
589	powers.count	1
589	default_power.type	0
589	default_power.mana_cost	25
589	default_power.mana_cost_pct	0
589	default_power.mana_cost_per_level	0
589	default_power.mana_per_second	0
589	effects.count	3
589	effect.0.index	0
589	effect.0.type	{"value":6,"string":"ApplyAura"}
589	effect.0.aura	{"value":3,"string":"PeriodicDamage"}
589	effect.0.base_points	4
589	effect.0.effective_base_points	5
589	effect.0.misc	[0]
589	effect.0.targets	[6,0]
589	effect.1.index	1
589	effect.1.type	{"value":0,"string":"None"}
589	effect.1.aura	{"value":0,"string":"None"}
589	effect.1.base_points	0
589	effect.1.effective_base_points	1
589	effect.1.misc	[0]
589	effect.1.targets	[0,0]
589	effect.2.index	2
589	effect.2.type	{"value":0,"string":"None"}
589	effect.2.aura	{"value":0,"string":"None"}
589	effect.2.base_points	0
589	effect.2.effective_base_points	1
589	effect.2.misc	[0]
589	effect.2.targets	[0,0]
589	spell_damage_type	2
589	attack_outcome	113
589	is_deprecated	false
589	affects.school.physical	false
589	affects.school.holy	false
589	affects.school.fire	false
589	affects.school.nature	false
589	affects.school.frost	false
589	affects.school.shadow	false
589	affects.school.arcane	false

# spell 628
628	id	628
628	name	"Mind Rot"
628	subtext	"Rank 1"
628	school	{"value":0,"string":"Physical"}
628	power.type	{"value":0,"string":"Mana"}
628	power.mana_cost	0
628	power.mana_cost_pct	0
628	power.mana_cost_per_level	0
628	power.mana_per_second	0
628	powers.count	1
628	default_power.type	0
628	default_power.mana_cost	0
628	default_power.mana_cost_pct	0
628	default_power.mana_cost_per_level	0
628	default_power.mana_per_second	0
628	effects.count	3
628	effect.0.index	0
628	effect.0.type	{"value":36,"string":"LearnSpell"}
628	effect.0.aura	{"value":0,"string":"None"}
628	effect.0.base_points	0
628	effect.0.effective_base_points	1
628	effect.0.misc	[0]
628	effect.0.targets	[1,0]
628	effect.1.index	1
628	effect.1.type	{"value":0,"string":"None"}
628	effect.1.aura	{"value":0,"string":"None"}
628	effect.1.base_points	0
628	effect.1.effective_base_points	1
628	effect.1.misc	[0]
628	effect.1.targets	[0,0]
628	effect.2.index	2
628	effect.2.type	{"value":0,"string":"None"}
628	effect.2.aura	{"value":0,"string":"None"}
628	effect.2.base_points	0
628	effect.2.effective_base_points	1
628	effect.2.misc	[0]
628	effect.2.targets	[0,0]
628	spell_damage_type	0
628	attack_outcome	113
628	is_deprecated	false
628	affects.school.physical	false
628	affects.school.holy	false
628	affects.school.fire	false
628	affects.school.nature	false
628	affects.school.frost	false
628	affects.school.shadow	false
628	affects.school.arcane	false

# spell 635
635	id	635
635	name	"Holy Light"
635	subtext	"Rank 1"
635	school	{"value":1,"string":"Holy"}
635	power.type	{"value":0,"string":"Mana"}
635	power.mana_cost	35
635	power.mana_cost_pct	0
635	power.mana_cost_per_level	0
635	power.mana_per_second	0
635	powers.count	1
635	default_power.type	0
635	default_power.mana_cost	35
635	default_power.mana_cost_pct	0
635	default_power.mana_cost_per_level	0
635	default_power.mana_per_second	0
635	effects.count	3
635	effect.0.index	0
635	effect.0.type	{"value":10,"string":"Heal"}
635	effect.0.aura	{"value":0,"string":"None"}
635	effect.0.base_points	38
635	effect.0.effective_base_points	39
635	effect.0.misc	[0]
635	effect.0.targets	[21,0]
635	effect.1.index	1
635	effect.1.type	{"value":0,"string":"None"}
635	effect.1.aura	{"value":0,"string":"None"}
635	effect.1.base_points	0
635	effect.1.effective_base_points	1
635	effect.1.misc	[0]
635	effect.1.targets	[0,0]
635	effect.2.index	2
635	effect.2.type	{"value":0,"string":"None"}
635	effect.2.aura	{"value":0,"string":"None"}
635	effect.2.base_points	0
635	effect.2.effective_base_points	1
635	effect.2.misc	[0]
635	effect.2.targets	[0,0]
635	spell_damage_type	1
635	attack_outcome	113
635	is_deprecated	false
635	affects.school.physical	false
635	affects.school.holy	false
635	affects.school.fire	false
635	affects.school.nature	false
635	affects.school.frost	false
635	affects.school.shadow	false
635	affects.school.arcane	false

# spell 642
642	id	642
642	name	"Divine Shield"
642	subtext	"Rank 1"
642	school	{"value":1,"string":"Holy"}
642	power.type	{"value":0,"string":"Mana"}
642	power.mana_cost	75
642	power.mana_cost_pct	0
642	power.mana_cost_per_level	0
642	power.mana_per_second	0
642	powers.count	1
642	default_power.type	0
642	default_power.mana_cost	75
642	default_power.mana_cost_pct	0
642	default_power.mana_cost_per_level	0
642	default_power.mana_per_second	0
642	effects.count	3
642	effect.0.index	0
642	effect.0.type	{"value":6,"string":"ApplyAura"}
642	effect.0.aura	{"value":39,"string":"SchoolImmunity"}
642	effect.0.base_points	-1
642	effect.0.effective_base_points	0
642	effect.0.misc	[1]
